,attackTypeList,successfulAttackList,hostagesList,ransomList,propertyDamageList,suicideAttackList,partOfMultipleIncidentList,typeOfWeaponList,subTypeOfWeaponList
58,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
59,Bombing/Explosion,Yes,No,No,Yes,Yes,No,Explosives,Suicide (carried bodily by human being)
60,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
61,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
62,Assassination,No,No,No,Yes,No,No,Explosives,Other Explosive Type
63,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
64,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
65,Hostage Taking (Kidnapping),Yes,Yes,Unknown,No,No,No,Unknown,Unknown
66,Armed Assault,Yes,No,No,No,No,No,Melee,Knife or Other Sharp Object
67,Bombing/Explosion,Yes,No,No,Unknown,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
68,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
69,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
70,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
71,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
72,Assassination,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
73,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
74,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
75,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
76,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
77,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
78,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
79,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
80,Armed Assault,Yes,No,No,No,No,No,Firearms,Handgun
81,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
82,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
83,Bombing/Explosion,No,No,No,No,No,No,Explosives,Other Explosive Type
84,Armed Assault,Yes,Yes,Unknown,No,No,No,Melee,"Hands, Feet, Fists"
85,Bombing/Explosion,No,No,No,No,No,No,Explosives,Other Explosive Type
86,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
87,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Dynamite/TNT
88,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
89,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
90,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
91,Unknown,Yes,No,No,No,No,No,Unknown,Unknown
92,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Gasoline or Alcohol
93,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
94,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
95,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Land Mine
96,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
97,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
98,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
99,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
100,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
101,Assassination,Yes,Yes,Unknown,Unknown,No,No,Unknown,Unknown
102,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
103,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
104,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
105,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
106,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
107,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
108,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
109,Assassination,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
110,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
111,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
112,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
113,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
114,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
115,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
116,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
117,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
118,Armed Assault,Yes,Yes,Unknown,No,No,No,Firearms,Unknown Gun Type
119,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
120,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
121,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
122,Bombing/Explosion,No,No,No,No,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
123,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Land Mine
124,Bombing/Explosion,No,No,No,No,No,No,Explosives,Other Explosive Type
125,Assassination,No,No,No,Yes,No,No,Explosives,Vehicle
126,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
127,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
128,Bombing/Explosion,No,No,No,No,No,No,Explosives,Other Explosive Type
129,Unknown,Yes,No,No,Unknown,No,No,Unknown,Unknown
130,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
131,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
132,Armed Assault,Yes,No,No,Unknown,No,No,Melee,Knife or Other Sharp Object
133,Unarmed Assault,Yes,No,No,Unknown,No,No,Melee,"Hands, Feet, Fists"
134,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
135,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
136,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
137,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
138,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
139,Bombing/Explosion,Yes,No,No,No,No,Yes,Explosives,Other Explosive Type
140,Bombing/Explosion,Yes,No,No,No,No,Yes,Explosives,Other Explosive Type
141,Assassination,Yes,No,No,Unknown,No,No,Firearms,Automatic Weapon
142,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
143,Bombing/Explosion,No,No,No,Unknown,No,No,Explosives,Vehicle
144,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
145,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
146,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
147,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
148,Assassination,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
149,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Remote Trigger
150,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
151,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
152,Bombing/Explosion,No,No,No,No,No,Yes,Explosives,Other Explosive Type
153,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
154,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
155,Hostage Taking (Kidnapping),Yes,Yes,Unknown,Unknown,No,No,Unknown,Unknown
156,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
157,Assassination,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
158,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
159,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
160,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
161,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
162,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
163,Armed Assault,Yes,No,No,No,No,No,Firearms,Handgun
164,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Dynamite/TNT
165,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
166,Bombing/Explosion,No,No,No,No,No,No,Explosives,Land Mine
167,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
168,Bombing/Explosion,Yes,No,No,No,No,No,Explosives,Grenade
169,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
170,Assassination,Yes,No,No,Yes,Yes,No,Explosives,Vehicle
171,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
172,Armed Assault,Yes,Yes,Unknown,No,No,No,Unknown,Unknown
173,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
174,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
175,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
176,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
177,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
178,Armed Assault,Yes,No,No,No,No,No,Firearms,Automatic Weapon
179,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
180,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
181,Armed Assault,Yes,No,No,No,No,No,Firearms,Rifle/Shotgun (non-automatic)
182,Bombing/Explosion,Yes,No,No,No,No,No,Explosives,Other Explosive Type
183,Hostage Taking (Kidnapping),Yes,Yes,Unknown,No,No,No,Unknown,Unknown
184,Bombing/Explosion,No,No,No,No,No,No,Explosives,Other Explosive Type
185,Armed Assault,Yes,No,No,No,No,No,Firearms,Handgun
186,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
187,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
188,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
189,Bombing/Explosion,Yes,No,No,Unknown,No,No,Explosives,Grenade
190,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
191,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
192,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
193,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
194,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
195,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
196,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Dynamite/TNT
197,Armed Assault,Yes,Yes,No,Unknown,No,No,Unknown,Unknown
198,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
199,Bombing/Explosion,Yes,No,No,Yes,Yes,No,Explosives,Suicide (carried bodily by human being)
200,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
201,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
202,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
203,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
204,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
205,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
206,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
207,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
208,Armed Assault,Yes,No,No,No,No,No,Firearms,Handgun
209,Assassination,Yes,No,No,Yes,Yes,No,Explosives,Suicide (carried bodily by human being)
210,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
211,Armed Assault,No,No,No,No,No,No,Firearms,Unknown Gun Type
212,Bombing/Explosion,Yes,No,No,Yes,Yes,No,Explosives,Suicide (carried bodily by human being)
213,Armed Assault,Yes,No,No,Unknown,No,No,Melee,"Hands, Feet, Fists"
214,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
215,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
216,Armed Assault,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
217,Unknown,Yes,No,No,Unknown,No,No,Unknown,Unknown
218,Bombing/Explosion,Yes,No,No,No,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
219,Assassination,No,No,No,Yes,No,No,Firearms,Unknown Gun Type
220,Bombing/Explosion,No,No,No,No,No,No,Explosives,Vehicle
221,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
222,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
223,Bombing/Explosion,No,No,No,No,No,No,Explosives,Grenade
224,Bombing/Explosion,No,No,No,No,No,No,Explosives,Other Explosive Type
225,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
226,Bombing/Explosion,Yes,No,No,Yes,Yes,No,Explosives,Suicide (carried bodily by human being)
227,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
228,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
229,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
230,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Remote Trigger
231,Armed Assault,Yes,No,No,Unknown,No,No,Explosives,Grenade
232,Armed Assault,Yes,No,No,Unknown,No,No,Melee,"Hands, Feet, Fists"
233,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
234,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
235,Armed Assault,Yes,No,No,No,No,No,Firearms,Automatic Weapon
236,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Dynamite/TNT
237,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
238,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
239,Hostage Taking (Kidnapping),Yes,Yes,No,Unknown,No,No,Firearms,Unknown Gun Type
240,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
241,Bombing/Explosion,No,No,No,No,No,No,Explosives,Other Explosive Type
242,Armed Assault,Yes,No,No,Yes,No,No,Incendiary,Gasoline or Alcohol
243,Bombing/Explosion,No,No,No,No,No,No,Explosives,Other Explosive Type
244,Bombing/Explosion,Yes,No,No,Yes,Yes,No,Explosives,Suicide (carried bodily by human being)
245,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
246,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
247,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
248,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Land Mine
249,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
250,Assassination,Yes,No,No,Yes,Yes,No,Explosives,Suicide (carried bodily by human being)
251,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Remote Trigger
252,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
253,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
254,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
255,Armed Assault,Yes,No,No,No,No,No,Firearms,Handgun
256,Bombing/Explosion,Yes,No,No,Unknown,No,No,Explosives,Letter Bomb
257,Bombing/Explosion,Yes,No,No,No,No,No,Explosives,Letter Bomb
258,Bombing/Explosion,No,No,No,No,No,No,Explosives,Letter Bomb
259,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
260,Bombing/Explosion,No,No,No,No,No,No,Explosives,Remote Trigger
261,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
262,Armed Assault,Yes,Yes,No,No,No,No,Melee,Knife or Other Sharp Object
263,Assassination,No,No,No,Yes,No,No,Firearms,Automatic Weapon
264,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
265,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
266,Bombing/Explosion,No,No,No,No,No,No,Explosives,Dynamite/TNT
267,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
268,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
269,Assassination,No,No,No,Yes,Yes,No,Explosives,Vehicle
270,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
271,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
272,Armed Assault,Yes,No,No,Yes,Yes,No,Unknown,Unknown
273,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Time Fuse
274,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
275,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
276,Bombing/Explosion,Yes,No,No,No,No,No,Explosives,Other Explosive Type
277,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
278,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
279,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Time Fuse
280,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
281,Bombing/Explosion,No,No,No,No,No,Yes,Explosives,Unknown Explosive Type
282,Armed Assault,Yes,No,No,Unknown,No,Yes,Firearms,Unknown Gun Type
283,Armed Assault,Yes,No,No,No,No,Yes,Firearms,Unknown Gun Type
284,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Handgun
285,Armed Assault,Yes,No,No,Yes,No,No,Melee,"Hands, Feet, Fists"
286,Armed Assault,Yes,No,No,No,No,No,Melee,Knife or Other Sharp Object
287,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
288,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
289,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Handgun
290,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
291,Bombing/Explosion,No,No,No,No,No,No,Explosives,Grenade
292,Bombing/Explosion,No,No,No,No,No,No,Explosives,Vehicle
293,Bombing/Explosion,No,No,No,No,No,No,Explosives,Other Explosive Type
294,Armed Assault,No,No,No,No,No,No,Firearms,Unknown Gun Type
295,Assassination,No,No,No,Yes,No,No,Explosives,Other Explosive Type
296,Assassination,No,No,No,Yes,No,No,Explosives,Other Explosive Type
297,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
298,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
299,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
300,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Dynamite/TNT
301,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
302,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
303,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
304,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
305,Bombing/Explosion,No,No,No,No,No,No,Explosives,Other Explosive Type
306,Assassination,No,No,No,Yes,No,No,Explosives,Other Explosive Type
307,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
308,Bombing/Explosion,No,No,No,No,No,No,Explosives,Vehicle
309,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Dynamite/TNT
310,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
311,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
312,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
313,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
314,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
315,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
316,Bombing/Explosion,No,No,No,No,No,No,Explosives,Other Explosive Type
317,Bombing/Explosion,Yes,No,No,Yes,Yes,No,Explosives,Vehicle
318,Hostage Taking (Kidnapping),Yes,Yes,Unknown,No,No,No,Unknown,Unknown
319,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
320,Bombing/Explosion,No,No,No,No,No,No,Explosives,Other Explosive Type
321,Hijacking,Yes,Yes,No,Unknown,No,No,Unknown,Unknown
322,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
323,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
324,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
325,Bombing/Explosion,Yes,No,No,No,No,No,Explosives,Grenade
326,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
327,Armed Assault,Yes,No,No,No,No,No,Firearms,Rifle/Shotgun (non-automatic)
328,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
329,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
330,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
331,Armed Assault,Yes,No,No,No,No,No,Firearms,Handgun
332,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
333,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
334,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
335,Assassination,No,No,No,Yes,No,No,Explosives,Other Explosive Type
