,attackTypeList,successfulAttackList,hostagesList,ransomList,propertyDamageList,suicideAttackList,partOfMultipleIncidentList,typeOfWeaponList,subTypeOfWeaponList
110,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
111,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Handgun
112,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
113,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
114,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
115,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
116,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
117,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
118,Facility/Infrastructure Attack,No,No,No,Yes,No,No,Sabotage Equipment,Unknown
119,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
120,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Unknown
121,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Unknown Explosive Type
122,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
123,Armed Assault,Yes,No,No,No,No,No,Firearms,Automatic Weapon
124,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Rifle/Shotgun (non-automatic)
125,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
126,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
127,Bombing/Explosion,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
128,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Unknown Explosive Type
129,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
130,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
131,Assassination,No,No,No,No,No,No,Firearms,Automatic Weapon
132,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
133,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
134,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
135,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
136,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
137,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
138,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
139,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
140,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
141,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
142,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
143,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
144,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
145,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Handgun
146,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
147,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
148,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
149,Unknown,Yes,No,No,Yes,No,No,Unknown,Unknown
150,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
151,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
152,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
153,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
154,Unknown,Yes,No,No,Yes,No,No,Unknown,Unknown
155,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
156,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
157,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
158,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
159,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
160,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
161,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
162,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
163,Armed Assault,Yes,No,No,No,No,No,Firearms,Handgun
164,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
165,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
166,Assassination,Yes,No,No,No,No,No,Melee,Knife or Other Sharp Object
167,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
168,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
169,Assassination,Yes,No,No,No,No,No,Melee,Rope or Other Strangling Device
170,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
171,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
172,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
173,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
174,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
175,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
176,Hijacking,Yes,Yes,No,No,No,No,Unknown,Unknown
177,Hijacking,Yes,Yes,Yes,No,No,No,Unknown,Unknown
178,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
179,Armed Assault,Yes,No,No,No,No,No,Firearms,Automatic Weapon
180,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
181,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
182,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Gasoline or Alcohol
183,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
184,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
185,Assassination,Yes,No,No,No,No,No,Firearms,Rifle/Shotgun (non-automatic)
186,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
187,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
188,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
189,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
190,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
191,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
192,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
193,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Unknown
194,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
195,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
196,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
197,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
198,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
199,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
200,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
201,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
202,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Unknown
203,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
204,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
205,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
206,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
207,Armed Assault,Yes,No,No,Yes,No,No,Incendiary,Unknown
208,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
209,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
210,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
211,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
212,Bombing/Explosion,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
213,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
214,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
215,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
216,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
217,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Unknown
218,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
219,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
220,Assassination,Yes,No,No,No,No,No,Melee,Knife or Other Sharp Object
221,Assassination,Yes,No,No,No,No,No,Explosives,Letter Bomb
222,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
223,Hijacking,Yes,Yes,No,No,No,No,Unknown,Unknown
224,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
225,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
226,Assassination,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
227,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
228,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
229,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
230,Unknown,Yes,No,No,Yes,No,No,Unknown,Unknown
231,Unknown,Yes,No,No,Yes,No,No,Unknown,Unknown
232,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
233,Assassination,Yes,No,No,Yes,No,No,Melee,Knife or Other Sharp Object
234,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Rifle/Shotgun (non-automatic)
235,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Unknown
236,Facility/Infrastructure Attack,No,No,No,Yes,No,No,Incendiary,Unknown
237,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Unknown
238,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Unknown Explosive Type
239,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
240,Armed Assault,Yes,Yes,No,Yes,No,No,Melee,Knife or Other Sharp Object
241,Unknown,No,No,No,Yes,No,No,Unknown,Unknown
242,Unknown,Yes,No,No,Yes,No,No,Unknown,Unknown
243,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Unknown
244,Unknown,Yes,No,No,Yes,No,No,Unknown,Unknown
245,Unknown,Yes,No,No,Yes,No,No,Unknown,Unknown
246,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
247,Armed Assault,Yes,No,No,Yes,No,No,Melee,Knife or Other Sharp Object
248,Unknown,Yes,No,No,Yes,No,No,Unknown,Unknown
249,Unknown,Yes,No,No,Yes,No,No,Unknown,Unknown
250,Unarmed Assault,Yes,No,No,Yes,No,No,Melee,Blunt Object
251,Unknown,Yes,No,No,Yes,No,No,Unknown,Unknown
252,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
253,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
254,Assassination,Yes,No,No,No,No,No,Unknown,Unknown
255,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
256,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
257,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
258,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
259,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
260,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
261,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
262,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
263,Assassination,No,No,No,No,No,No,Firearms,Handgun
264,Assassination,No,No,No,No,No,No,Firearms,Handgun
265,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
266,Assassination,Yes,No,No,No,No,No,Melee,Knife or Other Sharp Object
267,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
268,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
269,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
270,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Land Mine
271,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
272,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
273,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
274,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
275,Facility/Infrastructure Attack,Yes,No,No,Yes,No,Yes,Incendiary,Unknown
276,Facility/Infrastructure Attack,Yes,No,No,Yes,No,Yes,Incendiary,Unknown
277,Facility/Infrastructure Attack,Yes,No,No,Yes,No,Yes,Incendiary,Unknown
278,Facility/Infrastructure Attack,Yes,No,No,Yes,No,Yes,Incendiary,Unknown
279,Facility/Infrastructure Attack,Yes,No,No,Yes,No,Yes,Incendiary,Unknown
280,Facility/Infrastructure Attack,Yes,No,No,Yes,No,Yes,Incendiary,Unknown
281,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
282,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
283,Armed Assault,Yes,No,No,Yes,No,No,Incendiary,Unknown
284,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
285,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
286,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
287,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
288,Unknown,Yes,No,No,Yes,No,No,Unknown,Unknown
289,Unarmed Assault,Yes,No,No,Yes,No,No,Melee,Blunt Object
290,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
291,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
292,Unknown,Yes,No,No,Yes,No,No,Unknown,Unknown
293,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
294,Armed Assault,Yes,Yes,No,Yes,No,No,Unknown,Unknown
295,Hijacking,No,No,No,No,No,No,Unknown,Unknown
296,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
297,Facility/Infrastructure Attack,No,No,No,Yes,No,No,Incendiary,Unknown
298,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Unknown Explosive Type
299,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
300,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
301,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
302,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
303,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
304,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
305,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
306,Assassination,No,No,No,No,No,No,Explosives,Unknown Explosive Type
307,Assassination,Yes,No,No,No,No,No,Melee,Blunt Object
308,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
309,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
310,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
311,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Land Mine
312,Bombing/Explosion,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
313,Armed Assault,Yes,No,No,Yes,No,No,Incendiary,Unknown
314,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
315,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
316,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Dynamite/TNT
317,Assassination,No,No,No,No,No,No,Chemical,Unknown
318,Assassination,Yes,No,No,No,No,No,Explosives,Unknown Explosive Type
319,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
320,Assassination,Yes,No,No,No,No,No,Unknown,Unknown
321,Assassination,Yes,No,No,No,No,Yes,Unknown,Unknown
322,Assassination,Yes,No,No,No,No,Yes,Unknown,Unknown
323,Assassination,Yes,No,No,No,No,Yes,Unknown,Unknown
324,Assassination,Yes,No,No,No,No,Yes,Unknown,Unknown
325,Assassination,Yes,No,No,No,No,Yes,Unknown,Unknown
326,Assassination,Yes,No,No,No,No,Yes,Unknown,Unknown
327,Assassination,Yes,No,No,No,No,Yes,Unknown,Unknown
328,Assassination,Yes,No,No,No,No,No,Unknown,Unknown
329,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
330,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
331,Armed Assault,Yes,No,No,Yes,No,No,Chemical,Unknown
332,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
333,Armed Assault,Yes,No,No,Yes,No,No,Incendiary,Unknown
334,Armed Assault,Yes,No,No,Yes,No,No,Incendiary,Unknown
335,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
336,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
337,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Unknown Explosive Type
338,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
339,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
340,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
341,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
342,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
343,Assassination,Yes,No,No,No,No,No,Explosives,Letter Bomb
344,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
345,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
346,Unknown,Yes,Yes,No,Yes,No,No,Unknown,Unknown
347,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
348,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
349,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
350,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Land Mine
351,Assassination,Yes,No,No,Yes,No,No,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",Unknown
352,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
353,Hijacking,Yes,Yes,No,No,No,No,Unknown,Unknown
